Generacion:8 | Hora:[1, 55, 38] | Puntuacion:0.7633000016212463
Generacion:8 | Hora:[2, 49, 58] | Puntuacion:0.7925000190734863
Generacion:8 | Hora:[3, 1, 24] | Puntuacion:0.79339998960495
Generacion:8 | Hora:[3, 46, 29] | Puntuacion:0.8176000118255615
Generacion:8 | Hora:[3, 46, 29] | Puntuacion:0
Generacion:8 | Hora:[3, 58, 2] | Puntuacion:0.756600022315979
Generacion:8 | Hora:[4, 17, 2] | Puntuacion:0.7821999788284302
Generacion:8 | Hora:[4, 29, 52] | Puntuacion:0.7311999797821045
Generacion:8 | Hora:[5, 5, 7] | Puntuacion:0.7616000175476074
Generacion:8 | Hora:[5, 38, 4] | Puntuacion:0.8134999871253967
Generacion:8 | Hora:[5, 56, 45] | Puntuacion:0.8087999820709229
Generacion:8 | Hora:[6, 10, 43] | Puntuacion:0.746399998664856
Generacion:8 | Hora:[6, 22, 17] | Puntuacion:0.7997999787330627
Generacion:8 | Hora:[6, 41, 35] | Puntuacion:0.8166000247001648
Generacion:8 | Hora:[7, 14, 48] | Puntuacion:0.8138999938964844
Generacion:8 | Hora:[7, 34, 10] | Puntuacion:0.7519999742507935
Generacion:8 | Hora:[7, 43, 48] | Puntuacion:0.8174999952316284
Generacion:8 | Hora:[8, 5, 37] | Puntuacion:0.10000000149011612
Generacion:9 | Hora:[8, 19, 28] | Puntuacion:0.7853000164031982
Generacion:9 | Hora:[8, 31, 57] | Puntuacion:0.8069000244140625
Generacion:9 | Hora:[9, 0, 30] | Puntuacion:0.8151000142097473
Generacion:9 | Hora:[9, 17, 22] | Puntuacion:0.8004999756813049
Generacion:9 | Hora:[10, 1, 32] | Puntuacion:0.8213000297546387
Generacion:9 | Hora:[10, 36, 28] | Puntuacion:0.8173999786376953
Generacion:9 | Hora:[10, 47, 1] | Puntuacion:0.8047999739646912
Generacion:9 | Hora:[10, 55, 27] | Puntuacion:0.10000000149011612
Generacion:9 | Hora:[11, 23, 50] | Puntuacion:0.795799970626831
Generacion:9 | Hora:[11, 54, 57] | Puntuacion:0.8138999938964844
Generacion:9 | Hora:[12, 9, 39] | Puntuacion:0.8203999996185303
Generacion:9 | Hora:[12, 30, 33] | Puntuacion:0.7770000100135803
Generacion:9 | Hora:[13, 2, 40] | Puntuacion:0.7063000202178955
Generacion:9 | Hora:[13, 11, 39] | Puntuacion:0.7422000169754028
Generacion:9 | Hora:[13, 23, 37] | Puntuacion:0.7247999906539917
Generacion:9 | Hora:[14, 14, 23] | Puntuacion:0.7961999773979187
Generacion:9 | Hora:[14, 24, 34] | Puntuacion:0.7071999907493591
Generacion:9 | Hora:[14, 34, 13] | Puntuacion:0.7738000154495239
Generacion:9 | Hora:[14, 47, 39] | Puntuacion:0.8105999827384949
Generacion:9 | Hora:[15, 10, 1] | Puntuacion:0.800000011920929
Generacion:9 | Hora:[15, 26, 55] | Puntuacion:0.7894999980926514
Generacion:9 | Hora:[16, 21, 57] | Puntuacion:0.8111000061035156
Generacion:9 | Hora:[16, 39, 5] | Puntuacion:0.788100004196167
Generacion:9 | Hora:[16, 49, 37] | Puntuacion:0.7919999957084656
Generacion:9 | Hora:[17, 19, 51] | Puntuacion:0.7942000031471252
Generacion:9 | Hora:[17, 39, 28] | Puntuacion:0.8082000017166138
Generacion:9 | Hora:[18, 7, 39] | Puntuacion:0.7925999760627747
Generacion:9 | Hora:[18, 29, 21] | Puntuacion:0.8130000233650208
Generacion:9 | Hora:[18, 58, 41] | Puntuacion:0.8253999948501587
Generacion:9 | Hora:[19, 10, 22] | Puntuacion:0.8091999888420105
Generacion:10 | Hora:[19, 35, 30] | Puntuacion:0.8104000091552734
Generacion:10 | Hora:[19, 56, 4] | Puntuacion:0.7682999968528748
Generacion:10 | Hora:[20, 16, 52] | Puntuacion:0.10000000149011612
Generacion:10 | Hora:[20, 30, 46] | Puntuacion:0.8172000050544739
Generacion:10 | Hora:[20, 47, 1] | Puntuacion:0.8208000063896179
Generacion:10 | Hora:[21, 4, 22] | Puntuacion:0.8220000267028809
Generacion:10 | Hora:[21, 20, 43] | Puntuacion:0.8149999976158142
Generacion:10 | Hora:[22, 4, 17] | Puntuacion:0.8104000091552734
Generacion:10 | Hora:[22, 32, 38] | Puntuacion:0.817300021648407
Generacion:10 | Hora:[23, 18, 38] | Puntuacion:0.8057000041007996
Generacion:10 | Hora:[23, 38, 10] | Puntuacion:0.8126999735832214
Generacion:10 | Hora:[0, 5, 0] | Puntuacion:0.10000000149011612
Generacion:10 | Hora:[0, 25, 29] | Puntuacion:0.10000000149011612
Generacion:10 | Hora:[0, 53, 11] | Puntuacion:0.8238000273704529
Generacion:10 | Hora:[1, 57, 14] | Puntuacion:0.8140000104904175
Generacion:10 | Hora:[2, 16, 16] | Puntuacion:0.8138999938964844
Generacion:10 | Hora:[2, 42, 41] | Puntuacion:0.8208000063896179
Generacion:10 | Hora:[3, 8, 36] | Puntuacion:0.7943000197410583
Generacion:10 | Hora:[3, 17, 28] | Puntuacion:0.7581999897956848
Generacion:10 | Hora:[3, 33, 29] | Puntuacion:0.7545999884605408
Generacion:10 | Hora:[3, 46, 47] | Puntuacion:0.8216999769210815
Generacion:10 | Hora:[4, 1, 59] | Puntuacion:0.8151000142097473
Generacion:10 | Hora:[4, 14, 1] | Puntuacion:0.8083999752998352
Generacion:10 | Hora:[4, 27, 55] | Puntuacion:0.7910000085830688
Generacion:10 | Hora:[4, 38, 9] | Puntuacion:0.8023999929428101
Generacion:10 | Hora:[4, 44, 5] | Puntuacion:0.10000000149011612
Generacion:10 | Hora:[5, 19, 13] | Puntuacion:0.7785999774932861
Generacion:10 | Hora:[5, 36, 7] | Puntuacion:0.777999997138977
Generacion:11 | Hora:[5, 49, 39] | Puntuacion:0.7910000085830688
Generacion:11 | Hora:[6, 3, 46] | Puntuacion:0.7954000234603882
Generacion:11 | Hora:[6, 13, 52] | Puntuacion:0.8198999762535095
Generacion:11 | Hora:[6, 54, 38] | Puntuacion:0.8165000081062317
Generacion:11 | Hora:[7, 17, 44] | Puntuacion:0.8158000111579895
Generacion:11 | Hora:[7, 24, 40] | Puntuacion:0.10000000149011612
Generacion:11 | Hora:[7, 51, 53] | Puntuacion:0.8068000078201294
Generacion:11 | Hora:[8, 23, 5] | Puntuacion:0.8086000084877014
Generacion:11 | Hora:[8, 35, 36] | Puntuacion:0.8098999857902527
Generacion:11 | Hora:[8, 47, 47] | Puntuacion:0.7904999852180481
Generacion:11 | Hora:[9, 0, 59] | Puntuacion:0.10000000149011612
Generacion:11 | Hora:[9, 36, 52] | Puntuacion:0.8125
Generacion:11 | Hora:[9, 57, 0] | Puntuacion:0.7864999771118164
