Generacion:7 | Hora:[18, 37, 27] | Puntuacion:0.34950000047683716
Generacion:7 | Hora:[19, 4, 17] | Puntuacion:0.37880000472068787
Generacion:7 | Hora:[19, 21, 14] | Puntuacion:0.38920000195503235
Generacion:7 | Hora:[19, 36, 7] | Puntuacion:0.3497999906539917
Generacion:7 | Hora:[20, 12, 1] | Puntuacion:0.4106999933719635
Generacion:7 | Hora:[20, 33, 9] | Puntuacion:0.45190000534057617
Generacion:7 | Hora:[20, 43, 7] | Puntuacion:0.3695000112056732
Generacion:7 | Hora:[20, 54, 24] | Puntuacion:0.40139999985694885
Generacion:7 | Hora:[21, 16, 34] | Puntuacion:0.3427000045776367
Generacion:7 | Hora:[21, 47, 44] | Puntuacion:0.4797999858856201
Generacion:7 | Hora:[21, 58, 20] | Puntuacion:0.4237000048160553
Generacion:7 | Hora:[22, 28, 48] | Puntuacion:0.39800000190734863
Generacion:7 | Hora:[22, 52, 27] | Puntuacion:0.33070001006126404
Generacion:7 | Hora:[23, 6, 4] | Puntuacion:0.4553999900817871
Generacion:7 | Hora:[23, 6, 14] | Puntuacion:0
Generacion:7 | Hora:[23, 24, 18] | Puntuacion:0.48500001430511475
Generacion:7 | Hora:[23, 36, 20] | Puntuacion:0.3801000118255615
Generacion:7 | Hora:[23, 44, 56] | Puntuacion:0.009999999776482582
Generacion:8 | Hora:[0, 2, 7] | Puntuacion:0.32359999418258667
Generacion:8 | Hora:[0, 20, 13] | Puntuacion:0.388700008392334
Generacion:8 | Hora:[0, 34, 12] | Puntuacion:0.4415000081062317
Generacion:8 | Hora:[1, 31, 44] | Puntuacion:0.3978999853134155
Generacion:8 | Hora:[1, 49, 41] | Puntuacion:0.4129999876022339
Generacion:8 | Hora:[2, 8, 54] | Puntuacion:0.4634999930858612
Generacion:8 | Hora:[2, 52, 22] | Puntuacion:0.35350000858306885
Generacion:8 | Hora:[3, 13, 7] | Puntuacion:0.4287000000476837
Generacion:8 | Hora:[3, 20, 44] | Puntuacion:0.4296000003814697
Generacion:8 | Hora:[3, 33, 42] | Puntuacion:0.448199987411499
Generacion:8 | Hora:[3, 53, 50] | Puntuacion:0.21639999747276306
Generacion:8 | Hora:[4, 7, 1] | Puntuacion:0.45809999108314514
Generacion:8 | Hora:[4, 41, 15] | Puntuacion:0.31150001287460327
Generacion:8 | Hora:[5, 26, 34] | Puntuacion:0.313400000333786
Generacion:8 | Hora:[5, 46, 31] | Puntuacion:0.40459999442100525
Generacion:8 | Hora:[6, 6, 7] | Puntuacion:0.38040000200271606
Generacion:8 | Hora:[6, 27, 44] | Puntuacion:0.3880000114440918
Generacion:8 | Hora:[6, 45, 53] | Puntuacion:0.4138999879360199
Generacion:8 | Hora:[7, 0, 13] | Puntuacion:0.35910001397132874
Generacion:8 | Hora:[7, 35, 0] | Puntuacion:0.3377000093460083
Generacion:8 | Hora:[8, 5, 6] | Puntuacion:0.40790000557899475
Generacion:8 | Hora:[9, 59, 34] | Puntuacion:0.4302999973297119
Generacion:8 | Hora:[10, 11, 33] | Puntuacion:0.47850000858306885
Generacion:8 | Hora:[10, 34, 23] | Puntuacion:0.4413999915122986
Generacion:8 | Hora:[11, 6, 56] | Puntuacion:0.4595000147819519
Generacion:8 | Hora:[11, 18, 17] | Puntuacion:0.3882000148296356
Generacion:8 | Hora:[11, 32, 19] | Puntuacion:0.3422999978065491
Generacion:8 | Hora:[11, 44, 51] | Puntuacion:0.37610000371932983
Generacion:8 | Hora:[11, 57, 55] | Puntuacion:0.4250999987125397
Generacion:8 | Hora:[12, 16, 4] | Puntuacion:0.4325999915599823
Generacion:9 | Hora:[15, 43, 6] | Puntuacion:0.3797000050544739
Generacion:9 | Hora:[15, 56, 24] | Puntuacion:0.39629998803138733
Generacion:9 | Hora:[17, 5, 36] | Puntuacion:0.40299999713897705
Generacion:9 | Hora:[17, 21, 25] | Puntuacion:0.33230000734329224
Generacion:9 | Hora:[17, 59, 43] | Puntuacion:0.3287000060081482
Generacion:9 | Hora:[18, 9, 40] | Puntuacion:0.43230000138282776
Generacion:9 | Hora:[18, 30, 56] | Puntuacion:0.37560001015663147
Generacion:9 | Hora:[18, 41, 26] | Puntuacion:0.3935999870300293
Generacion:9 | Hora:[18, 59, 7] | Puntuacion:0.4708000123500824
Generacion:9 | Hora:[19, 13, 37] | Puntuacion:0.4487000107765198
Generacion:9 | Hora:[19, 32, 5] | Puntuacion:0.400299996137619
Generacion:9 | Hora:[19, 44, 51] | Puntuacion:0.4334999918937683
Generacion:9 | Hora:[19, 54, 26] | Puntuacion:0.3174999952316284
Generacion:9 | Hora:[20, 59, 34] | Puntuacion:0.2962000072002411
Generacion:9 | Hora:[21, 30, 59] | Puntuacion:0.32589998841285706
Generacion:9 | Hora:[21, 58, 10] | Puntuacion:0.37400001287460327
Generacion:9 | Hora:[22, 6, 30] | Puntuacion:0.4203000068664551
Generacion:9 | Hora:[22, 26, 25] | Puntuacion:0.4124000072479248
Generacion:9 | Hora:[22, 49, 40] | Puntuacion:0.4577000141143799
Generacion:9 | Hora:[23, 13, 37] | Puntuacion:0.43619999289512634
Generacion:9 | Hora:[23, 23, 52] | Puntuacion:0.44609999656677246
Generacion:9 | Hora:[23, 31, 34] | Puntuacion:0.435699999332428
Generacion:9 | Hora:[23, 48, 29] | Puntuacion:0.42980000376701355
Generacion:9 | Hora:[0, 8, 44] | Puntuacion:0.40070000290870667
Generacion:9 | Hora:[0, 18, 1] | Puntuacion:0.2964000105857849
Generacion:9 | Hora:[0, 37, 11] | Puntuacion:0.32679998874664307
Generacion:9 | Hora:[1, 5, 55] | Puntuacion:0.4323999881744385
Generacion:9 | Hora:[1, 19, 41] | Puntuacion:0.42179998755455017
Generacion:10 | Hora:[1, 30, 36] | Puntuacion:0.4408999979496002
Generacion:10 | Hora:[1, 41, 55] | Puntuacion:0.47290000319480896
Generacion:10 | Hora:[2, 0, 29] | Puntuacion:0.45730000734329224
Generacion:10 | Hora:[2, 22, 4] | Puntuacion:0.4528999924659729
Generacion:10 | Hora:[3, 5, 9] | Puntuacion:0.4007999897003174
Generacion:10 | Hora:[3, 18, 20] | Puntuacion:0.2782000005245209
Generacion:10 | Hora:[3, 28, 13] | Puntuacion:0.4401000142097473
Generacion:10 | Hora:[3, 55, 32] | Puntuacion:0.4683000147342682
Generacion:10 | Hora:[4, 12, 34] | Puntuacion:0.42910000681877136
Generacion:10 | Hora:[4, 35, 38] | Puntuacion:0.49799999594688416
Generacion:10 | Hora:[4, 46, 15] | Puntuacion:0.3562000095844269
Generacion:10 | Hora:[5, 37, 25] | Puntuacion:0.4758000075817108
Generacion:10 | Hora:[6, 0, 20] | Puntuacion:0.44209998846054077
Generacion:10 | Hora:[6, 16, 45] | Puntuacion:0.420199990272522
Generacion:10 | Hora:[6, 31, 21] | Puntuacion:0.4474000036716461
Generacion:10 | Hora:[6, 42, 1] | Puntuacion:0.46209999918937683
Generacion:10 | Hora:[6, 59, 24] | Puntuacion:0.4253000020980835
Generacion:10 | Hora:[7, 9, 56] | Puntuacion:0.4830000102519989
Generacion:10 | Hora:[7, 35, 41] | Puntuacion:0.49729999899864197
Generacion:10 | Hora:[7, 50, 28] | Puntuacion:0.4675000011920929
Generacion:10 | Hora:[8, 11, 57] | Puntuacion:0.40059998631477356
Generacion:10 | Hora:[8, 27, 56] | Puntuacion:0.38510000705718994
Generacion:10 | Hora:[8, 38, 5] | Puntuacion:0.4296000003814697
Generacion:10 | Hora:[8, 47, 30] | Puntuacion:0.4641999900341034
Generacion:10 | Hora:[9, 10, 40] | Puntuacion:0.3813999891281128
Generacion:10 | Hora:[9, 21, 14] | Puntuacion:0.4821000099182129
Generacion:10 | Hora:[9, 26, 56] | Puntuacion:0.009999999776482582
Generacion:10 | Hora:[11, 21, 36] | Puntuacion:0.3621000051498413
Generacion:10 | Hora:[11, 36, 5] | Puntuacion:0.44690001010894775
Generacion:10 | Hora:[11, 50, 22] | Puntuacion:0.48240000009536743
Generacion:11 | Hora:[12, 8, 47] | Puntuacion:0.5253000259399414
Generacion:11 | Hora:[12, 18, 10] | Puntuacion:0.4726000130176544
Generacion:11 | Hora:[12, 37, 25] | Puntuacion:0.43209999799728394
Generacion:11 | Hora:[12, 55, 48] | Puntuacion:0.3962000012397766
Generacion:11 | Hora:[13, 7, 2] | Puntuacion:0.5076000094413757
Generacion:11 | Hora:[13, 19, 46] | Puntuacion:0.4512999951839447
